name|race
Abyssal|Demons, Chaotic evil outsiders
Aklo|Derros, Inhuman or otherworldly monsters, Evil fey
Aquan|Aquatic creatures, Water-based creatures
Auran|Flying creatures, Air-based creatures
Celestial|Angels, Good outsiders
Common|Humans, Core races
Draconic|Dragons, Reptilian humanoids
Druidic|Druids
Dwarven|Dwarves
Elven|Elves, Half-elves
Giant|Cyclopses, Ettins, Giants, Ogres, Trolls
Gnome|Gnomes
Goblin|Bugbears, Goblins, Hobgoblins
Gnoll|Gnolls
Halfling|Halflings
Ignan|Fire-based creatures
Infernal|Fevils, Lawful evil outsiders
Orc|Orcs, Half-orcs
Sylvan|Centaurs, Fey creatures, Plant creatures, Unicorns
Terran|Earth-based creatures
Undercommon|Drow, Duergar, Morlocks, Svirfneblin